詞彙,釋義,例句
客家人,比喻小氣、儉省、苛刻的人，客家人以勤儉、刻苦耐勞著稱，在鄉民眼中就變成愛計較、貪小便宜。,他每次吃飯都堅持AA制，大家都笑稱他是個「客家人」。
屌打,指在競賽、比賽或比較中，以壓倒性的優勢輕鬆獲得勝利或超越。,這場比賽我們屌打對手，輕鬆拿下冠軍。
很躁,很煩躁的意思。,整個晚上都IG都當掉，讓人很躁。
很U,很優、很優秀、太優了,這次的設計作品不僅創意十足，而且細節完美，真的是很U！
急了,表示某人的情緒變得著急、緊張或感到迫切。,看他連續輸了五場遊戲，直接在聊天室狂刷訊息罵隊友，這下是真的急了。
按讚,原為社群平台中，可表達喜歡或支持的一種功能，後引申為認同、讚賞某種人事物。,小明的演講精彩絕倫，博得全場觀眾的按讚與掌聲。
挖礦,指獲取虛擬貨幣或加密貨幣的方式。,隨著比特幣價格的上升，越來越多的人開始投入資金和資源進行挖礦以獲取更多的虛擬貨幣。
是在哈囉,是一種用於表達不滿、困惑或不可思議的語氣詞，通常用來諷刺或質疑對方的行為或態度。,阿你怎麼每天遲到 是在哈囉
查水表,源自中國網絡用語，比喻以官方或權力機構名義進行的審查或調查，通常帶有某種隱含的威脅或壓力。,來日不多 川政府續查水表
歪樓,表示內容已偏離原本的主題,一位網友在「網購好物交流」社團，分享練出好身材的法寶。不過卻因為附上的美女照片太吸睛，讓底下留言全都歪樓。
泉,形容一個人說話誇大其詞、吹牛不實，專門針對那些浮誇的言論。,那個網紅直播的時候狂泉，說自己產品多厲害，結果買回來發現根本不是那回事。
洋蔥,具有讓人流淚或感動的事物。,當我看完那部電影後，它就像一顆洋蔥，讓我忍不住流下了感動的淚水。
洗,指在網絡討論中，刻意扭轉或引導話題，為某方辯護或淡化負面印象。,這幾天八卦板這個話題不知道在洗什麼
洗文,在網路上短時間大量發表重複言論，使整個版面充滿重複的文字，干擾其他使用者。,每當有熱門話題出現時，總有一些人開始洗文，讓討論區裡充斥著相同的留言，幾乎找不到有用的回應。
洗白,指透過言語或行動，使某人或某事物從負面的、受爭議的形象轉變為正面的或被接受的樣貌。,面對大眾的批評，他努力透過公益活動來洗白自己的形象。
洗地,意指為某人或某事件辯護或找藉口，試圖消除先前不利或負面的影響。,最後還要出來洗地給自己找台階下
洗版,在社群媒體或論壇中，大量建立重複或無意義的發文。,昨天在討論區裡，一位用戶開始洗版，讓大家的留言瞬間被大量重複的貼文淹沒了。
洗洗睡,指接受現實、停止努力或干預某事，通常帶有自嘲或調侃的意味，暗示事情無法改變或達到預期目標，不如放鬆心情去休息。,JC前期兩顆頭 鱷魚可以洗洗睡了
洗勒考,「是在哭夭」(是在鬼叫什麼)的國語聽寫,整天大驚小怪的，他又在那邊洗勒考什麼？
洗臉,形容被事實或現實狠狠打臉，常帶有反擊或打破錯誤認知的意味,他說我跑不快，結果比賽被我洗臉了！
洪荒之力,形容需要集中且出力的一種氣力,剛剛打王差點滅團，我用盡洪荒之力才把隊友救回來！
活網,指活絡於網路上，成天沉浸在社交軟體上，所有網路用語、迷因都不會錯過,我弟書不讀整天在那活網 媽媽還以為他教壞朋友
流量,指的是在互聯網中，網站或平台上的訪客數量或可見度，通常用來衡量內容或產品的受歡迎程度。,流量高 大家就做啊
炫耀文,指文章內含有令人羨慕之內容。,今天公司發年終獎金了，領到一大筆，忍不住寫了篇炫耀文，哈哈，誰說努力不會有回報的？
炸裂,形容某事物或情況非常驚人、受歡迎或激烈，超出預期。,1. iphone拍照這麼差怎麼還有人買 還買到銷量炸裂XDD2. 會不會心態炸裂反而更慘？
炸鍋,1.形容個體或群體出現劇烈的情緒反應。 2.爆發。,當公司宣布新的政策變動時，整個辦公室瞬間「炸鍋」，大家紛紛表達自己的不滿和擔憂。
玻璃心,內心像玻璃一樣易碎。形容敏感脆弱的心理狀態，容易受到打擊，經不起他人的指教、評論。,你真的很玻璃心欸，人家講幾句你就爆氣
省長,指很節儉的人。,小李平時總是精打細算，把每一分錢都花在刀刃上，同事們都戲稱他為「省長」。
眉角,指事情中的關鍵或需要特別注意的細節。,分析各酒種搭配時須注意的眉角
科科,參見【顆顆】。,「他講了個冷笑話，結果只有自己在科科笑。」
科普,「科學普及教育工作」的縮寫。用易懂的白話對別人解釋科學原理的意思。演化至今的用法已變成「對別人解釋某種專業知識的原理」。,她喜歡用簡單有趣的方式科普電腦程式設計，讓不懂技術的人也能理解程式的運作原理。
秒～,立刻、馬上。,看到老闆發來的消息，他秒回了一句「已經完成！」。
秒殺,指商品一經推出迅速售罄的現象，通常用於形容某物因高需求而在極短時間內賣完。,主打低總價、高單價建案，卻仍有不少秒殺個案，迅速完銷
穿越劇,描述主角跳脫原來生活的時空到過去、未來，或某個特定虛擬世界的戲劇類型。,這部穿越劇既動人又耐人尋味，講述了一名現代醫生意外穿越回古代，運用現代醫學知識拯救許多人的故事。
穿搭,指搭配服裝和穿著風格的藝術與技巧，強調服飾的選擇、組合與搭配以展現個人風格或符合特定場合需求。,認為簡單的漂亮衣服、具實穿價值與不受時空環境限制能穿得長久，才是聰明的穿搭選擇要素。
紅線,指警戒線、底線，冒犯者將承受嚴重的責難或攻擊。,管理層明確表示絕不容忍欺詐行為，這是一條不能觸碰的紅線。
美肌,指透過修圖或美容手段使肌膚看起來光滑無瑕、完美無瑕的效果。,工作人員常幫他後製美肌
美魔女,通常指保有美貌與魔鬼身材、外表看不出年齡的中年以上女性。,即使已經過了五十歲，那位美魔女依然能輕鬆駕馭年輕人喜愛的潮流穿搭，讓人讚嘆不已。
耍廢,指懶散地度過時間，通常指不做正經事，放任自己處於放鬆或無所事事的狀態。,以前的年輕人，喜歡出門耍帥；現在的年輕人，喜歡在家耍廢。
胃痛,原指因胃部問題引發身體的不適，後多引申為情緒或心理上的「難受」,女主角垂死掙扎的樣子讓人看得十分胃痛
要確定餒,強烈懷疑或是確定錯誤時使用在回覆上,甲：華為在各方面都屌打蘋果吧！ 乙:你要確定欸。
要確欸,「你確定嗎？」的簡稱，通常是用在一種令人傻眼或是很瘋狂的情境，而自己則帶有玩笑成分敷衍對方；又或是對方對某個選擇猶豫不決時，為了再次確認，也會脫口而出「你要確欸」。,你今天早上才喝三杯咖啡就說沒精神？要確欸！
負能量,負面的想法、話或舉動，通常會導致人們難過、自責等等的情緒，或是因為有這些情緒而產生負能量。,他給我灌輸了一堆負能量，害我心情也變很差。
趴,1..英文「part」。指部分。 2.英文「party」。指派對。 3.英文「percent」。指百分比、百分之…的。,1. 在這次計劃中，我們需要專注於第一趴，確保每個步驟都精確無誤。2. 明天晚上有一個生日趴，你要一起去嗎？ 3. 在這次調查中，超過七十趴的受訪者表示支持這項政策。
趴趴走,指在外隨意閒逛或四處走動，常帶有輕鬆、隨性、不拘小節的意味。,頂著素顏、宅女包頭，拿著3大包垃圾趴趴走
重訓,「重量訓練」的簡稱。 例句：可惜腦袋是無法重訓的！,每天早上，他都會花一小時進行重訓，以增強肌肉和體力。
限時動態,有時效性的動態。在社群軟體中透過動態分享系統發佈照片或影片，其發佈的內容都只會存在24小時。,每當週末，他總是會在限時動態上分享他外出旅行的美麗風景和歡樂時光。
限動,「限時動態」的簡稱。,我今天早上的咖啡店打卡照片只發在限動上，因為不想讓所有人都看到。
韭菜,原指一種植物，因其多次收割後仍能再生，衍生指金融市場中被大戶反覆收割的散戶投資者，即常被套牢或賠錢的初級投資者。,小弟也是個韭菜命的小股民想問問看大家有哪些韭菜特質可以早日擺脫苦海 大賺特賺
音遊,音樂遊戲的簡稱。玩家配合音樂與節奏做出動作來進行的電子遊戲。,小明每天放學後都會花一小時玩音遊來放鬆心情，享受音樂與節奏的互動樂趣。
風向,社會大眾對某件事情的看法或評論。,最近幾天，由於新政策的影響，社會上對該問題的風向發生了明顯的改變。
首發,指首次發布或推出某產品、服務或事件，通常用于表示一種新穎或領先的狀態。,很早前就說過了 三星不是衝首發就是等跳水
修但幾勒,台語的「稍等一下」,某甲：這份報告明天要記得交喔。 某乙：修但幾勒，不是下禮拜嗎？
修圖,指使用圖像處理軟件對圖片進行修改和美化，包括調整亮度、色彩、添加效果等，以達到理想的視覺效果。,他透露是老婆希望低調，自己修圖加墨鏡蓋住。
修羅場,起源於佛教的用語。原指稱戰場。衍伸為現實中需要競爭的職場、生活、人際交往等而產生難以負荷狀況。也可指多人複雜的感情關係所造成的場面。,在公司年度大會上，各個部門都全力展示自己的成果，讓整個會議室頓時變成了修羅場，每個人都在激烈競爭，生怕自己落後。
個板,1.「個人看板」的縮稱。也作「個版」。 2.在社群平台上發表不符主題的文章，內容多是個人心得或想法。也作「個版」。,他在論壇的科技區發了一篇拓展人脈的心得文，完全變成了「個板」，結果被管理員警告。
個唱,指歌手舉行的個人演唱會，通常由單一表演者主導，並演唱其曲目。例句中指的是某位歌手完成個人演唱會後立即恢復工作。,結束個唱3天她就復工，也趁機享受天倫之樂
冤種,指做出不明智或愚蠢選擇，導致自己陷入麻煩或被他人嘲笑的人，通常帶有自嘲或调侃的意味。,小王買完高價股票後，剛過一天價格就暴跌，他不禁感到自己像個冤種。
凍未條,台灣台語「擋袂牢(tòng bē tiâu)」，受不了、擋不住。,哇！這麻辣鍋也太香了吧！聞到味道我就凍未條了！
凍蒜,臺灣閩南語中「當選」的諧音，常在選舉活動中用作加油助威的口號，用來支持候選人。,他們熱情高喊加油、凍蒜聲不斷
凍齡,指一個人的外貌或氣質長時間保持年輕，彷彿未受到歲月影響。,歲月彷彿沒在他們身上留下痕跡，凍齡功力引發觀眾討論
原廠,指產品最初生產的工廠或品牌，通常用來描述由該生產者提供的正貨或原裝配件。,隔熱紙費用原廠報價2000元整，不曉得這個價錢是否合理？
原PO,PO為post的簡稱。指原本在社群網路發布貼文或文章的人，因其他人會轉發該貼文討論，故有此稱呼。,原PO後來有更新後續耶，他說他找到走失的狗狗了！
差評,指對某商品、服務或作品的負面評價或低分評分。,中國影迷看完盜版，差評如潮，在豆瓣的電影評分低至4.7分
師,在某些方言或俚語中，表示「的事」或「事情」的意思，通常用於否定句中，增添口語化的幽默感。,一定不師
捉i,「做愛」的俏皮用法,今晚要捉i嗎
旅充,「旅行用充電器」的簡稱。,出門旅行時，別忘了帶上你的旅充，這樣就不用擔心手機沒電了。
時代的眼淚,因為時代的不同，讓人留下傷感的眼淚。意指原本很強勢的東西、文化，變得沒什麼人知道。,當年火遍全國的小靈通手機，如今成了時代的眼淚，讓人不免感傷。
時事,指當時所發生的事情,每天閱讀報紙可以幫助我們了解最新的時事。
時間管理大師,能夠妥善運用時間，時間管理得當的人。,小明不僅連續完成了多個項目，還抽空學習了新技能，真不愧是個時間管理大師。
栓Q,源自英語「Thank You」的諧音，用於表達感謝，多具有調侃或幽默意味。,你幫我做完了這麼多工作，真是太好了，栓Q哦！
氣炸,用氣炸鍋烹調食物。,昨天晚上，我用氣炸鍋氣炸了一盤薯條，味道又香又脆。
氣噗噗,台灣台語「氣怫怫（khì-phut-phut）」，氣沖沖或很生氣的意思。也作「7pupu」、「氣pupu」。,瑤瑤發現她的生日蛋糕被偷偷吃了一半，氣噗噗地跑去問弟弟是不是他做的。
氣pupu,「氣噗噗」的諧音。指一個生氣的人火冒三丈、氣到不斷冒煙的樣子。,哎喲你看他氣pupu欸～
浪浪,流浪動物。通常指貓或狗。,在公園裡，我遇到了一隻可愛的浪浪狗，它對我搖尾巴，彷彿在邀請我陪它玩耍。
海王,在網絡用語中，指擅長同時與多名異性保持曖昧或親密關係的人，通常具有吸引力和情感操作手段。,小明是個不折不扣的海王，每天限動都是和不同女生出遊的照片。
海廢,海洋廢棄物的簡稱，指被人類拋棄或意外進入海洋的垃圾，包括塑膠、金屬、漁具等，對海洋生態環境造成嚴重影響。,46名學員一起在白沙灣淨灘，清出250公斤海廢、定置漁網，認識海洋汙染嚴重
消費,利用或消遣他人以達到個人的利益。,那位商人總是通過各種手段消費他人的善意和熱情，以促進自己的事業發展。
烙跑,「逃跑」的中文口語表達，通常帶有一種責任逃避或不負責任的意味,開盤拉高出貨烙跑 跟上
烙賽,腹瀉的意思，引申為某事物的失敗,這次活動的安排完全烙賽，大家都不知道該做什麼。
烤肉,用於比喻翻譯或字幕化的過程，即將「生肉」加工為「熟肉」的行為，來源於烹飪中將生的食材烹製成熟的過程，形象地表達了翻譯與本地化處理的意義。,這部動畫昨天才出，字幕組還在烤肉中。
病嬌,日語「ヤンデレ」（Yandere）的音譯，指一種角色類型，特徵是因極端的愛意而表現出病態或扭曲的行為。,小美的行為越來越像病嬌，她總是以過度關心的理由監視男友的一舉一動。
真香,表示某人原本堅定的立場，卻因為一點誘惑而態度一百八十度大轉變。,原本說這款手遊垃圾，絕對不碰，結果現在天天爆肝刷活動，真香！
真愛,指對某物或某人的深切喜愛或熱愛，常超越表面因素或條件限制。,真愛！這一代沒有渦輪我就不考慮了
真滴,表示對某件事情的強調或確認，相當於「真的」或「確實」。,他是真滴菜還是來搞的啊?
真D,用於強調某件事情的真實性或程度，類似於「真的」、「非常」。,控制飲食真d難
破大防,又作「大破防」，比喻心裡防線遭受某事擊破導致情緒崩潰。,對面那個選手被反殺的時候，直接破大防，鍵盤都摔了。
破事,煩瑣或令人厭煩的小事或麻煩事。,各種破事層出不窮
神,1.讚嘆某人或某事很厲害。 2.專指特別會搜尋人或物，類似「人肉搜索」。,1. 他在遊戲中竟然以一敵十，真是神一般的操作！  2. 她只用了幾分鐘就找到了我小時候的照片，簡直是神一樣的搜尋能力。
神手,非常厲害的人。,在這場全球鋼琴大賽中，他以無與倫比的技藝奪得桂冠，大家都尊稱他為「神手」。
神隊友,願意互相配合，使事情完成的更有效率、品質更好的團隊成員。,在這次專案中，小明不僅提前完成了自己的部分，還協助其他成員解決困難，真是名副其實的神隊友。
神器,實用、好用的器具。,這款多功能料理機真是廚房神器，不僅可以快速切菜，還可以輕鬆打果汁。
神隱,多指公眾人物因某事件於公開場合、螢光幕上或網路上消失行蹤，未與外界聯繫。,自從醜聞曝光後，那位影星選擇神隱，讓粉絲和媒體都無法聯繫上他。
笑死（鼠）,「笑死」字面上看似想表達某件事很笑到不行，甚至帶有誇飾用法。但是實際上「笑死」的用法更像是「句點」，往往有敷衍的意思。,A: 你看這個超厲害的 AI 程式設計，真的可以自動生成所有代碼！ B: 笑死，生成的代碼能跑再說吧。
笑到黑姑,笑到氣喘（黑姑是台語氣喘的說法）,聽到他那滑稽的故事，我差點笑到黑姑，實在是太搞笑了。
笑果,指由於某種意外或創新的方式，產生出意想不到的幽默效果或笑料。,兩人的《天鵝湖》獨樹一格，反倒造成良好的「笑果」。
笑嗨嗨,形容笑得開心、愉悅、無憂無慮。,這麼用心宣傳的好女婿哪裡找，難怪孟媽一路笑嗨嗨
笑鼠,指某事或某人過於滑稽或尷尬，引人發笑的狀態或情況，用以形容笑得停不下來的程度。,被噓爆 笑鼠
笑點,好笑的點、使人發笑的觸發點。,每當他講笑話時，他總能抓住大家的笑點，讓整個房間充滿歡笑。
粉紅泡泡,1.浪漫美好的幻想。 2.在戀愛中或如戀愛般的幸福心情、氣氛。,每次和他在一起，整個世界都像是被粉紅泡泡包圍，充滿了甜蜜和美好。
粉專,「粉絲專頁」的簡稱。官方於社交平台上創立的頁面，用以發布訊息、與粉絲互動並吸引潛在客戶。,公司最近在社交媒體上推出了一個粉專，定期分享產品更新和促銷活動，以便更好地與顧客互動。
純愛,純愛指的是一種純粹而真誠的愛情關係，通常不涉世俗因素，如金錢、地位等，是心靈上的契合與深厚的情感聯繫。,在這個物慾橫流的時代，他們之間的純愛顯得尤其珍貴和難能可貴。
耗子尾汁,源自中國網絡上流行的諧音梗，原詞為「好自為之」，意指應該謹慎行事，避免不必要的麻煩或損失。在例句中，表示某些事態或情況可能不妙，需注意後果。,這種老舊大樓燒起來真的耗子尾汁
能蟲,屬於昆蟲綱鞘翅目，雜食非常凶殘，體內經常有很多病毒。 在唐朝就已經出現，被劍客李白一劍殺死。,要是能蟲來，我要選李白
草莓,「草莓族」的簡稱。又比喻對壓力挫折承受力低的樣子。,小李是個典型的草莓，工作上一點壓力就讓他無法承受。
蚌,在此處用作形容詞，意指某事物達到極高的水準或完美無瑕，可能源自貝殼的光滑完美。,他的書法寫得真蚌！
衰小,指運氣糟到了極點,我確診還被狗咬，真的有夠衰小
討拍,討取他人的安慰、安撫。,小李今天心情不好，到處和朋友們討拍，希望能得到一些安慰和支持。
財富密碼,指某個產品或商業模式顯現出其高度賺錢的潛力，通常形成跟風效應，吸引眾多參與者競相效仿和投資。,拌麵那麼多人出 就財富密碼吧
起手式,進行某件事時，要做的第一步。,為了展開這場精彩的晚會，確保燈光佈置得當是必不可少的起手式。
迷因,英文「Meme」。在網路上短時間內被大量宣傳和轉發的文字、圖片或影片等，通常是幽默有趣的內容。,最新的迷因把那隻跳舞的貓推上了網路紅人的寶座，大家都被它滑稽的舞步逗笑了。
追劇,指連續觀看電視劇集，通常透過串流平台或錄影設備，一次觀看多集以緊湊進行情節追隨。,公共網路服務是用來上網、查資訊，不是追劇或下載大量檔案
追蹤,關注他人的活動或是行為。源自於「instagram」的追蹤功能。,每次有新的旅行Vlog發布，我都會立刻追蹤，以掌握最新的旅遊靈感。
退追,在社群或影音等平臺取消追蹤。,我發現他一直發一些負能量的貼文，所以默默地退追了，感覺心情比較好。
逆襲,日文「逆襲（ぎゃくしゅう）」。指反攻。,在比賽的最後一刻，他們成功發動逆襲，反超對手，贏得了勝利。
釘,台灣台語「 叮（tìng）」，被人斥責、挑毛病。,每次開會，他總是被主管釘得體無完膚，讓他壓力很大。
釘孤枝,台語，找人單挑、一對一決鬥的意思。,聽說阿強不滿昨晚的輸局，今天要在巷口和大華釘孤枝。
閃退,指應用程式在非正常狀態下自動關閉。,每次打開這個遊戲，它在加載畫面的時候總是閃退，讓人無法正常遊玩。
高玩,高端玩家的意思，泛指在該領域非常駕輕就熟的人。,這劇的隱喻一般人看不懂，高玩解說直接提升觀劇層次！
高歌離席,指在某種情境中離開，帶有從容、愉悅或嘲諷的意味，既可形容自信全身而退，也可指揚長而去時的灑脫或調侃。,笑死，前陣子股票跟到一波直接高歌離席，賺爛了賺爛了
鬼切,指在駕駛中不打方向燈或不顧安全規則突然變換車道的駕駛行為，常造成交通險情或事故。,鬼切真的很令人討厭，昨天上班路上就遇到，還沒打方向燈直接換車道，如果沒減速直接就撞上去了。
鬼轉,指事物的發展出乎意料或劇烈轉折。,1. 這台車直接鬼轉欸，是想被開罰單嗎 2. 這部連續劇最後劇情直接鬼轉，有夠猛 3. 我要鬼轉醫學系了，大家保重
假掰,指裝模作樣、不真誠或刻意表現得矯情，往往給人不自然或不真實的感覺。,不是真心感恩，就不要假掰勉強，要發自內心的事才做
假議題,經常會在公開場合激烈議論、但其實沒有實質討論意義的話題。,政客們花了數小時辯論關於是否要重新設計市政廳外的噴水池，完全忽略了大眾所關切的交通和住房問題，這明顯是一個假議題。
偶,網絡用語，「我」的諧音，用於自稱以增加親切感或幽默感。,想問問各位先進，偶還有機會嗎？
偶包,「偶像包袱」的簡稱。指十分注重自身形象。,小李在公開場合總是小心翼翼，生怕自己的偶包受到一點損害。
唬爛,吹牛、說謊或誇大其詞。,他每次聚會都在那裡唬爛，吹噓自己投資賺了大錢，但事實上根本沒做過什麼。
唯二,僅有的兩個。,他在班上交了兩位朋友，而他們是他唯二可以完全信任的人。
唱秋,囂張的台語。,他每次贏了牌局，就開始在那裡唱秋，一副不可一世的樣子。
啃老,指已到就業年紀，卻不願工作，經濟跟生活皆依賴父母。,小明畢業後一直沒有找工作，整天在家打遊戲，完全靠父母養活，這樣的生活讓鄰居們都說他是在啃老。
商演,指商業性質的演出活動，通常是為企業、商店等機構舉辦特定場合的表演，旨在增加氛圍、吸引客流或娛樂賓客，同時為表演者提供額外收入。,為維持社團正常運作，也會接演商店開幕、婚禮表演、企業尾牙等等商演，藉以賺取外快
啊不就好棒棒,諷刺用語，並不是真的稱讚對方很棒，而是反諷他人自以為厲害，但實際上不怎麼樣,你每天在群組炫耀自己早起打卡，啊不就好棒棒，連假日也不放過啊？
問都問,「有問題就問，全部都給你問」的意思,在美國讀高中，問都問
啥潲,台語漢字，台羅為「siánn-siâu」，意旨「什麼」。是一種粗俗不雅的說法。華語音譯常以「三小」二字出現。,小明: 你是咧衝啥潲？ (你在做什麼？)
圈粉,指吸引他人成為某事物或人物的粉絲或支持者。,好歡樂的分享～已圈粉
國家隊,通常指由國家或政府主導，整合各領域資源和力量，協同達成特定目標或應對挑戰的專業團隊或平台。,金管會與銀行公會共組「金融國家隊」平台，未來將視疫情討論紓困及放款進度。
國旅,指在國內進行的旅遊活動，包括各種觀光、休閒和文化探索，是與境外旅遊相對的一種旅行方式。,國旅大爆發，不少人長途開車出遊
婉君,「網軍」的諧音，指在網路上組織化、系統化進行輿論操作或信息發布已達成特定目標的群體,請婉君別再造謠抹黑了
寄杯,購買飲品先結帳寄存，等待之後有需要時再領取。,昨天我在咖啡店寄杯了一杯美式咖啡，下周開會時正好可以過去取走。
帶風向,指刻意引導輿論或意見，使其朝向特定方向發展，通常運用於網路上或社交媒體引導群眾看法。,為什麼阿公阿嬤容易被帶風向？就因為資訊不對等
康康,「看看」的諧音。,我聽說前面的藝術展很有趣，我們一起去康康吧！
強迫症,屬於一種精神疾病，但在日常語境中，「強迫症」常被用作比喻，形容某人對細節或秩序過於執著，雖然非真正的心理疾病，但帶有調侃的意味。,這張桌子東西沒排整齊，我的強迫症就犯了
彩蛋,藏於最後的驚喜，常指影片最後的額外福利片段。,看完電影後，千萬不要急著離開，因為導演在片尾放了一個彩蛋，揭示了續集的伏筆。
情勒,「情緒勒索」的簡稱。也就是以自己的情緒會不開心當威脅，逼迫對方按照自己的意願做某些事情。,小美常用情勒來讓男友放棄與朋友出遊，希望他能把所有時間都留給她。
捧油,「朋友」的諧音。較為可愛的用法。,在這麼忙碌的時候，還有捧油願意陪我加班，真的是太感動了！
掉漆,原意指物體表面油漆剝落、失去光澤，延伸意思為表現不如預期或有失完美；亦用於形容在某方面露出真實、可愛或不完美的一面。,雖身為女明星，但她毫不掩飾「小掉漆」的可愛個性
掛,1.「八卦」的簡稱。也作【卦】。 2.雖然在即時通訊或遊戲等連線軟體中顯示為「登入」狀態，但使用者的注意力並不在此。該行為又稱作「掛機」、「掛網」。,1. 這週末我和朋友們聚在一起聊掛，居然聊了整整一個下午還意猶未盡。2. 他老是掛著，卻不回訊息，我猜他可能忙著做其他事情。
掛點,指死亡或故障,手機突然掛點，害我聯絡不到人
接地氣,指貼近一般民眾的想法或經驗。,這部電影的劇情接地氣，觀眾都覺得角色的生活與自己的經歷很相似。
推,表達稱讚、推薦，或表示認同。也作「推推」。,「這個餐廳的甜點實在太好吃了，我超推他們家的芝士蛋糕！」
推文,指在網路文章或貼文下方留言回覆。,她在最新的影評文章下推文表示，她同意作者對於電影結局的看法。
推坑,推坑指的是引導或鼓勵他人進入某個興趣、活動或消費行為，儘管可能伴隨著時間或財務上的投入。,小明總是喜歡推坑朋友打新出的電動遊戲，結果大家都忍不住花錢買了。
推高調,指在網絡上將某一事件或話題的關注度提升，使其更廣泛地被人關注和討論。,她有請網友將網聞「推高調」，但與犯罪無關。
推播,1.應用程式透過發送通知，宣傳、告知使用者最新消息。 2.應用程式所傳送的通知。,每當有新的優惠活動時，購物應用程式都會立即推播通知，以確保使用者不會錯過任何折扣訊息。
斜槓,指擁有多種職業或專長。,瑪莉是一位斜槓青年，白天在公司擔任會計，晚上則是攝影師兼瑜伽教練。
旋轉,周旋、反覆、推託的意思。,在這個會議中，他只是一再旋轉，並沒有給出任何具體的解決方案。
晚鳥,形容在預定活動期間之內最後的時段，通常用於提供特別優惠或服務。,在這間餐廳，晚鳥優惠提供給那些在夜間九點後才光顧的顧客，讓他們享受八折的價格。
曹氏宗親,因三國歷史人物曹操取他人妻子為妻，因此稱喜歡有夫之婦的人為曹氏宗親、曹操,他經常追求已婚女性，朋友們便笑稱他是「曹氏宗親」。
桶,在網絡論壇或社群中，指因言行不當而被管理者禁言或封禁帳戶。,你要自我檢討一下啦 名聲臭掉很難看呢被桶十年 開分身又被抓到
梗,指故事、笑話或戲劇等情節中的關鍵點、伏筆或轉折，通常是吸引注意力或引出驚喜效果的部分。在大眾文化中也指用來引發幽默或共鳴的元素。,如果直接寫上了主菜的名稱，這樣好像就立刻破梗了，感覺也不是很好。
梭哈,原指將手中的所有籌碼一次性全部押上，是一種賭博行為。引申至日常用語中，意指孤注一擲或投入全部資源，不留退路的行為。,自己要做到災害控管，要可以周轉，不是一昧的梭哈啦
殺球,指在辯論或對話中迅速且有力地反駁對方的論點，使對方無法招架或回應。,麻煩想反駁的發言前先想一下不要留這麼容易回的話給我殺球
淚崩,形容因情感過度激動而瞬間淚流滿面的狀態，表示無法控制情緒地大哭。,家暴目睹兒面臨「選媽媽等於背叛爸爸」的選擇題，常忍不住當庭淚崩。
淚推,情緒激動又真摯，聲淚俱下的推薦。,剛看完那部電影，我忍不住淚推給身邊的每一個人，真的是一部感人至深的作品。
清流,原意指清澈的溪流，後來被引申為一種純粹、獨特、不受污染的存在，通常用來形容在某個領域中與眾不同、不隨波逐流的人或事物。,綜觀整個混沌的立法院，這位議員可說是清流啊。
爽缺,指工作內容輕鬆且待遇優厚的職位，通常被視為理想和令人嚮往的工作機會。,在稽核制度不確實、升遷管道順暢的情形下，中油一直是考生眼中的肥缺和爽缺。
牽拖,做事情很愛怪東怪西，很愛找藉口的意思。,明明就是你的問題啊！不要牽拖啊！
現在放棄，OO就開始惹,反話梗，變成「現在XX(消極作為)，XX就結束了」  大學生間則以「現在放棄，寒(暑)假就開始了」反諷平日課堂的不用功導致成績不佳。,現在不告白，當朋友就開始惹
現象級,指事物因其異常的受歡迎程度或影響力而成為社會或行業中的突出或典型現象。,近兩年疫情使全球電影票房相對低迷，但仍出現「現象級」的作品。
理智線,理智，是一種人類具有的思考、判斷、推理的能力（或說智能）。 將理智此一智能比喻為一道線，即為「理智線」。常見的說法為「理智線斷裂」、「理智斷線」。此一單詞應源於日本當代流行語「キレる」。 「キレる」形容人的憤怒情感如同一條緊繃的繩索因無法抑制拉扯而斷裂，描述人將無法忍耐的憤怒情緒一口氣爆發出來的樣子。 此詞又源自於俗諺「堪忍袋の緒が切れる」，直譯即為「裝滿耐心的袋子的綁繩要斷了」在2000年左右，大量的日本現代小說譯介來台，自此此一詞彙廣在台流傳。參考來源：キレるとは一定義と概念モデルからの検討一　 https://core.ac.uk/download/pdf/35265107.pdf 教育百科：理智,當媽媽的理智線斷掉，就是小孩子大難臨頭的時候了。
理想很豐滿，現實很骨感,在想像中想得很美好，現實中，自己卻面對相當殘酷現實的意思。,他本以為創業後會輕鬆賺錢，但實際上卻每天忙得團團轉，真是理想很豐滿，現實很骨感。
異次元,指奇怪、不正常或不存在的空間。,在這座古老而神秘的森林深處，探險隊似乎發現了一個通向異次元的入口，讓人毛骨悚然卻又充滿好奇。
眼神死,形容一個人因疲憊、無奈或失去興趣等原因，眼神黯淡、無神，彷彿沒有靈魂。,在加班到凌晨三點後，他終於熬不住了，靠在椅子上，一臉「眼神死」。
眼緣,指初次見面時由於外觀或氛圍引起的自然好感或吸引力，通常用來描述對人的第一印象或對動物、物品的直觀好感。,上一隻養了八年的狗，在兩年前離世後，父親鬱鬱寡歡，為了父親，林先生遍尋有眼緣的狗，最後從高雄帶回Diamond。
祭品文,此類文章是發表文章者為了達成某些目標而發出的，並且會在文章表示如果目標達成、自己將會如何還願。,這篇祭品文真有用，昨天說只要老闆加薪我就每天早到，結果今天真的加薪了！
粗乃丸,出來玩,這個週末有空嗎？一起粗乃丸放鬆一下吧！
紳士,原意為溫文有禮、教養好品味高的典雅男子，現今則演變為男性向的色情作品,你又一個人偷偷去買紳士漫畫了，就不怕被你女友發現嗎？
